1,Lenguaje y Automatas I
2,Taller de Administracion
3,Lenguaje y Automatas II
4,Arquitectura de Aplicaciones Empresariales
5,Desarrollo Sustentable
6,Probabilidad y Estadistica
7,Calculo Diferencial
8,Calculo Integral
9,Calculo Vectorial
10,Ecuaciones Diferenciales
11,Taller de Sistemas Operativos
12,Calculo Diferencial
13,Taller de Base de Datos
14,Taller de Base de Datos
15,Principios Electricos y Aplicaciones Digitales
16,Fundamentos de base de datos
17,Desarrollo de Aplicaciones para Dispositivos Movil
18,Programacion Orientada  Objetos
19,Desarrollo Sustentable
20,Taller de etica
21,Lenguajes y Automatas I
22,Taller de Administracion
23,Lenguajes y Automatas II
24,Arquitectura de Aplicaciones Empresariales
25,Probabilidad y Estadistica
26,Calculo Vectorial
27,Calculo Integral
28,Algebra Lineal
29,Ecuaciones Diferenciales
30,Calculo Diferencial
31,Taller de Base de Datos
32,Arquitectura de Computadoras
33,Negocios Electronicos II
34,Programacion Web
35,Negocios Electronicos I
36,Calculo Integral
37,Desarrollo Sustentable
38,Probabilidad y Estadistica
39,Fundamentos de base de datos
40,Ingenieria del Conocimiento
41,Programacion II
42,Fundamentos de Redes
43,Redes de Computadoras
44,Gestion de Servicios VoIP
45,Desarrollo de Aplicaciones para Dispositivos Movil
46,Fundamentos de Programacion
47,Programacion Orientada  Objetos
